question,answer,category,article_reference,source,year_passed
Is discrimination based on ethnicity prohibited? (variation 1),"Yes, all forms of discrimination based on ethnicity, tribe, or region are prohibited by Article 2 of the Constitution.",Civil Rights,Article 2,Cameroon Constitution / National Laws,1996
Can I protest peacefully in Cameroon? (variation 2),"Yes, peaceful assembly is a constitutional right under Article 20, but requires administrative authorization.",Civil Rights,"Article 20,",Cameroon Constitution / National Laws,1996
Is discrimination based on ethnicity prohibited? (variation 3),"Yes, all forms of discrimination based on ethnicity, tribe, or region are prohibited by Article 2 of the Constitution.",Civil Rights,Article 2,Cameroon Constitution / National Laws,1996
Can I protest peacefully in Cameroon? (variation 4),"Yes, peaceful assembly is a constitutional right under Article 20, but requires administrative authorization.",Civil Rights,"Article 20,",Cameroon Constitution / National Laws,1996
Can I protest peacefully in Cameroon? (variation 5),"Yes, peaceful assembly is a constitutional right under Article 20, but requires administrative authorization.",Civil Rights,"Article 20,",Cameroon Constitution / National Laws,1996
What are my rights during police arrest? (variation 6),"Every individual has the right to remain silent, access legal counsel, and be charged or released within 48 hours as per Article 18.",Civil Rights,Article 18.,Cameroon Constitution / National Laws,1996
What are my rights during police arrest? (variation 7),"Every individual has the right to remain silent, access legal counsel, and be charged or released within 48 hours as per Article 18.",Civil Rights,Article 18.,Cameroon Constitution / National Laws,1996
Can I protest peacefully in Cameroon? (variation 8),"Yes, peaceful assembly is a constitutional right under Article 20, but requires administrative authorization.",Civil Rights,"Article 20,",Cameroon Constitution / National Laws,1996
What are my rights during police arrest? (variation 9),"Every individual has the right to remain silent, access legal counsel, and be charged or released within 48 hours as per Article 18.",Civil Rights,Article 18.,Cameroon Constitution / National Laws,1996
Can I protest peacefully in Cameroon? (variation 10),"Yes, peaceful assembly is a constitutional right under Article 20, but requires administrative authorization.",Civil Rights,"Article 20,",Cameroon Constitution / National Laws,1996
Can I protest peacefully in Cameroon? (variation 11),"Yes, peaceful assembly is a constitutional right under Article 20, but requires administrative authorization.",Civil Rights,"Article 20,",Cameroon Constitution / National Laws,1996
Can I protest peacefully in Cameroon? (variation 12),"Yes, peaceful assembly is a constitutional right under Article 20, but requires administrative authorization.",Civil Rights,"Article 20,",Cameroon Constitution / National Laws,1996
What are my rights during police arrest? (variation 13),"Every individual has the right to remain silent, access legal counsel, and be charged or released within 48 hours as per Article 18.",Civil Rights,Article 18.,Cameroon Constitution / National Laws,1996
Can I protest peacefully in Cameroon? (variation 14),"Yes, peaceful assembly is a constitutional right under Article 20, but requires administrative authorization.",Civil Rights,"Article 20,",Cameroon Constitution / National Laws,1996
What are my rights during police arrest? (variation 15),"Every individual has the right to remain silent, access legal counsel, and be charged or released within 48 hours as per Article 18.",Civil Rights,Article 18.,Cameroon Constitution / National Laws,1996
Can I protest peacefully in Cameroon? (variation 16),"Yes, peaceful assembly is a constitutional right under Article 20, but requires administrative authorization.",Civil Rights,"Article 20,",Cameroon Constitution / National Laws,1996
Can I protest peacefully in Cameroon? (variation 17),"Yes, peaceful assembly is a constitutional right under Article 20, but requires administrative authorization.",Civil Rights,"Article 20,",Cameroon Constitution / National Laws,1996
Is discrimination based on ethnicity prohibited? (variation 18),"Yes, all forms of discrimination based on ethnicity, tribe, or region are prohibited by Article 2 of the Constitution.",Civil Rights,Article 2,Cameroon Constitution / National Laws,1996
Can I protest peacefully in Cameroon? (variation 19),"Yes, peaceful assembly is a constitutional right under Article 20, but requires administrative authorization.",Civil Rights,"Article 20,",Cameroon Constitution / National Laws,1996
Is discrimination based on ethnicity prohibited? (variation 20),"Yes, all forms of discrimination based on ethnicity, tribe, or region are prohibited by Article 2 of the Constitution.",Civil Rights,Article 2,Cameroon Constitution / National Laws,1996
Can I protest peacefully in Cameroon? (variation 21),"Yes, peaceful assembly is a constitutional right under Article 20, but requires administrative authorization.",Civil Rights,"Article 20,",Cameroon Constitution / National Laws,1996
Can I protest peacefully in Cameroon? (variation 22),"Yes, peaceful assembly is a constitutional right under Article 20, but requires administrative authorization.",Civil Rights,"Article 20,",Cameroon Constitution / National Laws,1996
Can I protest peacefully in Cameroon? (variation 23),"Yes, peaceful assembly is a constitutional right under Article 20, but requires administrative authorization.",Civil Rights,"Article 20,",Cameroon Constitution / National Laws,1996
